Date,Dividends
2003-12-23,0.29
2017-03-27,0.215
2004-06-24,0.29
2008-09-24,0.32
2007-12-24,0.32
2013-03-26,0.21
2016-12-28,0.215
2017-06-28,0.215
2003-03-19,0.28
2004-09-17,0.29
2009-03-25,0.32
2013-06-26,0.21
2003-08-27,0.29
2015-12-24,0.215
2009-06-24,0.32
2011-12-23,0.2
2013-09-26,0.21
2005-03-28,0.3
2003-06-25,0.28
2016-03-28,0.215
2004-12-23,0.3
2007-09-26,0.32
2002-09-10,0.27
2007-06-25,0.31
2016-06-28,0.215
2012-03-28,0.2
2012-12-24,0.21
2016-09-26,0.215
2008-03-26,0.32
2012-06-27,0.2
2008-12-23,0.32
2008-06-25,0.32
2012-09-26,0.21
2004-03-15,0.29
2005-12-22,0.3
2006-06-22,0.31
2006-09-27,0.31
2010-09-24,0.2
2011-03-28,0.2
2014-12-29,0.215
2015-03-25,0.215
2006-03-27,0.3
2011-06-27,0.2
2013-12-27,0.21
2015-06-26,0.215
2011-09-27,0.2
2009-12-24,0.32
2015-09-24,0.215
2007-03-26,0.31
2005-09-27,0.3
2005-06-24,0.3
2009-09-25,0.32
2014-03-25,0.21
2002-12-23,0.28
2010-03-24,0.32
2014-06-26,0.21
2006-12-27,0.31
2010-06-23,0.2
2014-09-24,0.21
2010-12-24,0.2
