"id","code","thumbnail","hero_image","title","category","is_vacant","is_green","leed_description","is_boma","geo_address_1","geo_address_2","geo_city","geo_province","geo_province_region","geo_country","geo_postal","geo_lat","geo_lng","geo_intersetion","sqft","vacant_sqft","description","marketing_pdf","video_url","siteplan_name","annual_average_daily_traffic","population_1km","household_1km","household_income_1km","population_3km","household_3km","household_income_3km","population_5km","household_5km","household_income_5km","social_facebook","social_twitter","social_url","vacancy_1","vacancy_2","vacancy_3","vacancy_4","vacancy_5","vacancy_6","vacancy_7","vacancy_8","vacancy_9","vacancy_10","filter_grocery_anchored","filter_urban_retail","filter_office_space","filter_under_development","sort_order","hidden","parent_name_fr","child_name_fr","leed_description_fr","geo_address_1_fr","geo_address_2_fr","geo_city_fr","geo_intersetion_fr","description_fr"
"1","CLR591","https://fcr.ca/uploads/properties/thumbs/Lakeshore-Kerr_thumb.jpg","https://fcr.ca/uploads/properties/hero/CLR591_Ground1.jpg","Lakeshore and Kerr","134, 146-150 Lakeshore Road West","0","1","2014 - LEED Canada Core and Shell (CS) 2009 Silver Certification","0","134, 146-150 Lakeshore Road West",,"Oakville","ON","central","Canada","L6K 1E4","43.4384048","-79.6754255","Kerr St / Lakeshore Rd W","20550.5",NULL,"<p>Nestled in Oakville's Lower Kerr Village District, is a redeveloped shopping centre with an assortment of shops, restaurants, and services. Surrounded by established neighbourhoods, this eclectic community offers an intriguing mix of small town hospitality with urban revitalization. With tenants like Canada Post, Starbucks and Pizza Hut, this shopping centre has something for everyone!</p>
",NULL,,"https://fcr.ca/uploads//properties/site-plans/146 Lakeshore Blvd_CURRENT SITE PLAN.pdf","16131","7275.42422249541","3426.78111435217","105898.207442723","30691.8551317593","12530.3717204996","152280.275685667","87580.6186983897","32449.9394738239","155273.515606057",,,,"0","0","0","0","0","0","0","0","0","0","0","1","0","0","113","0",,,,,,,,"<p>Situ&eacute; &agrave; Oakville Lower Kerr Village District, est un centre commercial r&eacute;am&eacute;nag&eacute; avec un assortiment de boutiques, restaurants et services.&nbsp;Entour&eacute; par les quartiers &eacute;tablis, cette communaut&eacute; &eacute;clectique offre un m&eacute;lange fascinant de l&rsquo;hospitalit&eacute; d&rsquo;une petite ville avec la revitalisation urbaine.&nbsp;Avec des locataires comme Postes Canada, Starbucks et Pizza Hut, ce centre commercial a quelque chose pour tout le monde! <!-- P--></p>
"
"2","CBA749","https://fcr.ca/uploads/properties/thumbs/CBA749_Thumb.jpg","https://fcr.ca/uploads/properties/hero/CBA749_Ground1.jpg","Bayview Tower","1670 Bayview Avenue","1","1",NULL,"0","1670 Bayview Avenue",,"Toronto","ON","central","Canada","M4G 3C2","43.7075266","-79.3762397","Bayview Ave / Eglinton Ave E","37297",NULL,"<p>Situated northeast of downtown Toronto, is one of Toronto&#39;s most popular neighbourhoods, Leaside. This area has evolved from an industrial working class to an affluent community. 1670 Bayview Ave. is a modern office tower home to the Bank of Montreal and offers medical and professional office space.</p>
","https://fcr.ca/uploads/properties/marketing-pdfs/1670_Bayview_Avenue_bayview_tower.pdf",,"https://fcr.ca/uploads//properties/site-plans/1670 Bayview Avenue.pdf","25398","19944.5991250686","8486.56462907791","184994.243983557","157588.478653638","75522.0471891183","164193.946497661","472142.972743227","221867.920891787","153263.472055567",,,,"1121","0","0","0","0","0","0","0","0","0","0","1","1","0","22","0",,,,,,,,"<p>Situ&eacute; au nord-est du centre-ville de Toronto, Leaside est l&#39;un des Toronto quartiers les plus populaires.&nbsp;Cette zone a &eacute;volu&eacute; &agrave; partir d&#39;une classe ouvri&egrave;re industrielle &agrave; une communaut&eacute; riche.&nbsp;1670 Bayview Ave.&nbsp;est une maison de tour de bureaux modernis&eacute;e pour la Banque de Montr&eacute;al et pour offrir un espace de bureau m&eacute;dical et professionnel. <!-- P--></p>
"
"3","CQS163","https://fcr.ca/uploads/properties/thumbs/CQS163_Thumb.jpg","https://fcr.ca/uploads/properties/hero/CQS163_Ground2.jpg","Queen and Woodbine","1842-1852 Queen Street East","0","1",NULL,"0","1842 & 1852 Queen Street East",,"Toronto","ON","central","Canada","M4L 1H1","43.6686064","-79.3075942","Queen Street E / Brookmount Rd","13367",NULL,"<p>Just 20 minutes from the downtown Toronto core, on the bustling thoroughfare of Queen Street East, is a charming 3 story building anchored by a Starbucks and a CIBC. Located in the vibrant urban neighbourhood of The Beaches, thousands flock to this area to enjoy the vintage small town vibe and visit the vast and eclectic number of shops and cafes.</p>
","https://fcr.ca/uploads/properties/marketing-pdfs/Queenandwoodbine.pdf",,"https://fcr.ca/uploads//properties/site-plans/1842_1852_Queen_Street_East-1-.pdf","26762","18677.5535530373","8519.16905157268","128094.805940171","131600.637540594","57157.1823100911","112935.419817075","303463.745659245","129107.841668024","98834.2153799879",,,,"0","0","0","0","0","0","0","0","0","0","0","1","0","0","195","0",,,,,,,,"<p>&Agrave; seulement 20 minutes du centre-ville de Toronto, sur la rue anim&eacute;e de Queen Street East, se trouve un charmant immeuble de 3 &eacute;tages ancr&eacute; par un Starbucks et un CIBC.&nbsp;Situ&eacute; dans le quartier urbain anim&eacute; de The Beaches, des milliers affluent dans cette r&eacute;gion pour profiter de l&#39;ambiance de vieille petite ville et de visiter le nombre vaste et &eacute;clectique de boutiques et caf&eacute;s. <!-- P--></p>
"
"4","CYS601","https://fcr.ca/uploads/properties/thumbs/3080-Yonge_thumb.jpg","https://fcr.ca/uploads//properties/hero/CYS601.jpg","3080 Yonge Street","3080 Yonge Street","1","1",NULL,"0","3080 Yonge Street",,"Toronto","ON","central","Canada","M4N 3N1","43.7255648","-79.4029066","Yonge St / Lawrence Ave W","172310",NULL,"<p>Just beyond the Toronto&rsquo;s downtown core is Bedford Park - one of the wealthiest and most sought after communities. Surrounded by residential homes and some of the best schools in the city, Bedford Park is a thriving urban neighbourhood for young families and professionals. Centrally located at a prime intersection in Uptown Toronto, 3080 Yonge Street is easily accessible for all types of commuters.</p>

<p>&bull; 20 minute drive to Toronto&rsquo;s downtown core</p>

<p>&bull;&nbsp;Five minutes to Hwy 401</p>

<p>&bull; Steps to public transit</p>

<p>This truly is a unique retail opportunity &ndash; a dynamic area with impressive demographics, so claim your space, today!</p>

<p>&nbsp;</p>

<p>&nbsp;</p>
","https://fcr.ca/uploads/properties/marketing-pdfs/3080Yonge.pdf",,"https://stage.fcr.ca/uploads//properties/site-plans/3080_Yonge_Street.pdf","45986","19833.6820763722","8011.16578036547","239714.415789422","148100.665949861","64845.9686942657","195257.985990609","379997.609782748","169065.854353102","161442.285775927",,,,"1116","4000","1150","1800","1055","1690","1224","1567","903","0","1","1","1","1","4","0",,,,,,,,"<p>Cette communaut&eacute; centr&eacute;e vers la famille commence &agrave; devenir une destination de magasinage &agrave; la mode avec une offre diversifi&eacute;e de culture, nourriture et du plaisir.&nbsp;L&rsquo;hiver 2017 sera le d&eacute;voilement d&#39;un immeuble de bureaux magnifique r&eacute;am&eacute;nag&eacute; avec un espace au rez-de-chauss&eacute;e de d&eacute;tail avec acc&egrave;s direct &agrave; la station de m&eacute;tro.&nbsp;Dans le coin nord-ouest occup&eacute; de la rue Yonge et de l&rsquo;avenue Lawrence, ce site sera ancr&eacute; par Loblaws City Market.</p>
"
"5","CYS114","https://fcr.ca/uploads/properties/thumbs/CYS114_Thumb.jpg","https://fcr.ca/uploads/properties/hero/CYS114_Ground2.jpg","5051-5061 Yonge Street","5051-5061 Yonge Street","0","1",NULL,"1","5051 - 5061 Yonge Street",,"Toronto","ON","central","Canada","M2N 5P2","43.7669809","-79.4119458","Yonge St / Hillcrest Ave","37307",NULL,"<p>In the cosmopolitan urban area of Willowdale in uptown Toronto is Hillcrest Plaza. With easy access to public transit via bus or subway, and conveniently located off highway 401, this rapidly growing, densely populated area is a vibrant neighbourhood to shop and dine.</p>
","https://fcr.ca/uploads//properties/marketing-pdfs/5051-5061Yonge Street_EN_PRINT_8.5x11.pdf",,"https://fcr.ca/uploads//properties/site-plans/5051-5061 Yonge Street Siteplan.pdf","47512","34915.6988274725","16462.1804621306","80527.0971703671","148450.484865573","63437.3738914763","105406.011838126","349856.688655375","137357.4728269","122551.318789716",,,,"0","0","0","0","0","0","0","0","0","0","0","1","0","0","6","0",,,,,,,,"<p>Dans la zone urbaine cosmopolite de Willowdale dans la partie haute de Toronto se trouve Hillcrest Plaza.&nbsp;Avec un acc&egrave;s facile au transport en commun par le bus ou le m&eacute;tro, et commod&eacute;ment situ&eacute; &agrave; la sortie de l&#39;autoroute 401, cette zone en croissance rapide, dens&eacute;ment peupl&eacute;e est un quartier vibrant pour magasiner et d&icirc;ner. <!-- P--></p>
"
"6","CKS847","https://fcr.ca/uploads/properties/thumbs/CKS847_Thumb.jpg","https://fcr.ca/uploads/properties/gallery/CKS847_Ground1.jpg","Medical Arts Building","71 King Street West","1","1",NULL,"0","71 King Street West",,"Mississauga","ON","central","Canada","L5B 4A2","43.5773516","-79.6163142","Dundas St W / The Queensway W","41957",NULL,"<p>Located minutes away from Trillium Health Partners, is our 49,000 square foot medical office building. This recently renovated space is located in the diverse and highly populated neighbourhood of Cooksville, which is also the main transportation hub in Mississauga.</p>
","https://fcr.ca/uploads/properties/marketing-pdfs/71 King St W - Medical Arts.pdf",,"https://fcr.ca/uploads//properties/site-plans/71 KING STREET_CURRENT SITE PLAN.pdf","50900","27763","10967","63607.7987437404","147162","56297","87722.2172421168","315666.767233295","115738","115737.885960369",,,,"709","659","1826","877","1123","0","0","0","0","0","0","0","1","0","143","0",,,,,,,,"<p>Situ&eacute; &agrave; quelques minutes de Trillium Health Partners, est notre immeuble de bureaux m&eacute;dicaux 49,000 pieds carr&eacute;s.&nbsp;Cet espace r&eacute;cemment r&eacute;nov&eacute; est situ&eacute; dans le quartier diversifi&eacute; et tr&egrave;s peupl&eacute;e de Cooksville, qui est aussi la principale plaque tournante de transport &agrave; Mississauga. <!-- P--></p>
"
"7","CLA700","https://fcr.ca/uploads/properties/thumbs/CLA700_Thumb.jpg","https://fcr.ca/uploads/properties/hero/CLA700_Ground2.jpg","895 Lawrence Avenue East","895 Lawrence Avenue East","1","1",NULL,"0","895 Lawrence Avenue East",,"Toronto","ON","central","Canada","M3C 3L2","43.7358147","-79.3475084","Lawrence Ave E / Don Mills Rd","30540",NULL,"<p>Situated in Toronto&rsquo;s best known and most popular neighbourhood of Don Mills is the recently renovated 895 Lawrence Ave East. This fantastic centre is located at the prime intersection of Lawrence Ave. and Don Mills Rd. In this family friendly affluent neighbourhood this property offers ample space for retail and professional office endeavors.</p>
","https://fcr.ca/uploads/properties/marketing-pdfs/895 Lawrence Ave East.pdf",,"https://fcr.ca/uploads//properties/site-plans/895-Lawrence-Avenue.pdf","0","10271.2159706904","4614.950827986","97726.3675235831","84179.8562208982","34000.5154434764","123391.361030404","324210.758670916","132371.394388947","126580.569472431",,,,"708","1006","1314","572","500","0","0","0","0","0","0","0","1","0","11","0",,,,,,,,"<p>Situ&eacute; dans le quartier le plus populaire &agrave; Toronto, Don Mills, r&eacute;cemment r&eacute;nov&eacute; c&rsquo;est 895 Lawrence Ave East.&nbsp;Ce fantastique centre est situ&eacute; &agrave; l&#39;intersection principale de Lawrence Ave.&nbsp;et Don Mills Rd.&nbsp;Dans ce quartier riche et favorable pour les familles, cette propri&eacute;t&eacute; offre amplement d&#39;espace pour la vente au d&eacute;tail et les professionnels recherchant un bureau. <!-- P--></p>
"
"8","CAS104","https://fcr.ca/uploads/properties/thumbs/CAS104_Thumb.jpg","https://fcr.ca/uploads/properties/gallery/CAS104_Ground1.jpg","Adelaide Shoppers","Adelaide Shoppers","0","1",NULL,"0","1104 - 1118 Adelaide Street North",,"London","ON","central","Canada","N5Y 2N5","43.0127619","-81.2431015","Adelaide St N / Huron St","19215",NULL,"<p>You&rsquo;ll find Adelaide Shoppers in northeast London&rsquo;s Carling neighbourhood. Carling is a popular close knit family community that is close to the notable Western University. This site is anchored by a large Shoppers Drug Mart and is located in the main shopping hub of this active neighbourhood.</p>
","https://fcr.ca/uploads/properties/marketing-pdfs/Adelaide Shoppers.pdf",,"https://fcr.ca/uploads//properties/site-plans/Adelaide_Shoppers.pdf","33261","9913.07985614613","4603.68697646633","64626.7759972064","71729.5700204838","33850.487605365","86376.020104619","163765.635804343","75718.0530404072","84245.1822506056",,,,"0","0","0","0","0","0","0","0","0","0","0","1","0","0","12","0",,,,,,,,"<p>Vous trouverez Shoppers Adelaide dans le nord de Londres, dans le quartier de Carling.&nbsp;Carling est une communaut&eacute; populaire orient&eacute; vers la famille, qui est proche de l&#39;Universit&eacute; Western.&nbsp;Ce site est ancr&eacute; par un grand Shoppers Drug Mart et est situ&eacute; dans le centre commercial principal de ce quartier actif. <!-- P--></p>
"
"9","CAP300","https://fcr.ca/uploads/properties/thumbs/CAP300_Thumb.jpg","https://fcr.ca/uploads/properties/hero/CAP300_header.jpg","Ambassador Plaza","Ambassador Plaza","1","1",NULL,"0","1550, 1556 Huron Church Road",,"Windsor","ON","central","Canada","N9C 3Z3","42.2883309","-83.0571799","Tecumseh Rd W / Huron Church Rd","140101",NULL,"<p>Rich in architecture, history and life, West Windsor is home to the Ambassador Plaza. Located in a densely populated and diverse neighbourhood, this property is set in an established commercial node, close to major establishments such as the University of Windsor, US Border and Windsor&rsquo;s Chinatown. This strategically situated site welcomes both local area residents as well as American travelers.</p>
","https://fcr.ca/uploads/properties/marketing-pdfs/AmbassadorPlaza_Group-Brochure_test.pdf",,"https://fcr.ca/uploads//properties/site-plans/Ambassador_Plaza.pdf","25001","7634.63748380076","3227.75973769277","65771.7746169427","46861.1123673953","19965.917986227","55322.1891621078","96120.7492419044","41974.3285280586","60748.8138962458",,,,"4239","1204","1270","1592","0","0","0","0","0","0","1","1","0","0","13","0",,,,,,,,"<p>Riche en architecture, l&#39;histoire et en vie, l&rsquo;ouest de Windsor est le foyer du Plaza Ambassador.&nbsp;Situ&eacute; dans un quartier dens&eacute;ment peupl&eacute; et diversifi&eacute;e, cette propri&eacute;t&eacute; est d&eacute;finie dans un noeud commercial &eacute;tabli, &agrave; proximit&eacute; des grands &eacute;tablissements tels que l&#39;Universit&eacute; de Windsor, la fronti&egrave;re am&eacute;ricaine et leur quartier Chinatown.&nbsp;Ce site est situ&eacute; strat&eacute;giquement pour accueillir les r&eacute;sidents de la r&eacute;gion, ainsi que les voyageurs am&eacute;ricains. <!-- P--></p>
"
"10","CUP915","https://fcr.ca/uploads/properties/thumbs/CUP915_Thumb.jpg","https://fcr.ca/uploads/properties/hero/CUP915_Header.jpg","University Plaza","University Plaza","0","1",NULL,"0","2700 Tecumseh Road West",,"Windsor","ON","central","Canada","N9B 3P9","42.2916702","-83.0585318","Tecumseh Rd W / Huron Church Rd","145600",NULL,"<p>Rich in architecture, history and life, West Windsor is home to the University Plaza.&nbsp; Located in a densely populated and diverse neighbourhood, this property is strategically set in an established commercial node adjacent to Ambassador Plaza and close to major establishments such as the University of Windsor, US Border and Windsor&rsquo;s Chinatown.&nbsp; This strategically situated site welcomes both local area residents as well as American travelers.&nbsp;</p>
","https://fcr.ca/uploads/properties/marketing-pdfs/Ambassador Plaza_Group-Brochure (1).pdf",,"https://fcr.ca/uploads//properties/site-plans/University Plaza_CURRENT SITE PLAN.pdf","25001","8115.10720545426","3373.20785393566","61179.6512742385","46495.8443056606","20166.2656152302","53208.8687541565","91693.2344401181","40427.6252218176","58409.8642754847",,,,"0","0","0","0","0","0","0","0","0","0","1","1","0","0","242","0",,,,,,,,"<p>Riche en architecture, l&#39;histoire et de la vie, l&rsquo;ouest de Windsor est le foyer du Plaza Universit&eacute;. Situ&eacute; dans un quartier dens&eacute;ment peupl&eacute; et diversifi&eacute;e, cette propri&eacute;t&eacute; est strat&eacute;giquement situ&eacute; dans un noeud commercial &eacute;tabli adjacent au Plaza Ambassador et &agrave; proximit&eacute; des grands &eacute;tablissements tels que l&#39;Universit&eacute; de Windsor, la fronti&egrave;re am&eacute;ricaine et du quartier chinois de Windsor. Ce site est situ&eacute; strat&eacute;giquement pour accueillir les r&eacute;sidents locaux de la r&eacute;gion ainsi que les voyageurs am&eacute;ricains. <!-- P--></p>
"
