id,code,title,category,geo_city,geo_province,marketing_pdf
1,CLR591,Lakeshore and Kerr,"134, 146-150 Lakeshore Road West",Oakville,ON,134-146-150LakeshoreRdW.pdf
2,CBA749,Bayview Tower,1670 Bayview Avenue,Toronto,ON,1670BayviewAvenue.pdf
3,CQS163,Queen and Woodbine,1842-1852 Queen Street East,Toronto,ON,1842-1845QueenStreetEast.pdf
4,CYS601,3080 Yonge Street,3080 Yonge Street,Toronto,ON,
5,CYS114,5051-5061 Yonge Street,5051-5061 Yonge Street,Toronto,ON,5051-5061YongeStreet.pdf
6,CKS847,Medical Arts Building,71 King Street West,Mississauga,ON,71KingStreetWest.pdf
7,CLA700,895 Lawrence Avenue East,895 Lawrence Avenue East,Toronto,ON,895LawrenceAveE.pdf
8,CAS104,Adelaide Shoppers,Adelaide Shoppers,London,ON,AdelaideShoppers.pdf
9,CAP300,Ambassador Plaza,Ambassador Plaza,Windsor,ON,AmbassadorPlaza.pdf
10,CUP915,University Plaza,University Plaza,Windsor,ON,UniversityPlaza.pdf
11,CAV277,Appleby Village,Appleby Village,Burlington,ON,ApplebyVillage.pdf
12,CAS973,Appleby South,Appleby South,Burlington,ON,ApplebySouth.pdf
13,CAS722,Appleby Square,Appleby Square,Burlington,ON,ApplebySquare.pdf
14,CBL555,Bayview Lane Plaza,Bayview Lane Plaza,Markham,ON,BayviewLanePlaza.pdf
15,CBC564,Brampton Corners,Brampton Corners,Brampton,ON,BramptonCorners.pdf
16,CBP360,Bridgeport Plaza,Bridgeport Plaza,Waterloo,ON,BridgeportPlaza.pdf
17,CWS928,Bridgeport Plaza,Waterloo Shoppers Drug Mart,Waterloo,ON,WaterlooShoppersDrugMart.pdf
18,CBT039,Brooklin Towne Centre,Brooklin Towne Centre,Whitby,ON,BrooklinTowneCentre.pdf
19,CBS421,Burlingwood Shopping Centre,Burlingwood Shopping Centre,Burlington,ON,BurlingwoodShoppingCentre.pdf
20,CBH815,Beacon Hill Plaza,Beacon Hill Plaza,Burlington,ON,BeaconHillPlaza.pdf
21,CBV942,Byron Village,Byron Village,London,ON,ByronVillage.pdf
22,CCM299,Cedarbrae Mall,Cedarbrae Mall,Toronto,ON,CedarbraeMall.pdf
23,CLA200,3434 Lawrence Avenue East,3434 Lawrence Avenue East,Toronto,ON,3434LawrenceAveE.pdf
24,CMR858,629 Markham Road,629 Markham Road,Toronto,ON,629MarkhamRoad.pdf
25,CCS200,Chartwell Shopping Centre,Chartwell Shopping Centre,Toronto,ON,ChartwellShopping Centre.pdf
26,CCC493,Clairfield Commons,Clairfield Commons,Guelph,ON,ClairfieldCommons.pdf
27,CPC117,Pergola Commons,Pergola Commons,Guelph,ON,PergolaCommons.pdf
28,CCM730,Cliffcrest Plaza,Cliffcrest Plaza,Toronto,ON,CliffcrestPlaza.pdf
29,CCS751,College Square,College Square,Ottawa,ON,CollegeSquare.pdf
30,CCV772,Credit Valley Town Plaza,Credit Valley Town Plaza,Mississauga,ON,CreditValleyTownPlaza.pdf
31,CDS310,Danforth Sobeys,Danforth Sobeys,Toronto,ON,DanforthSobeys.pdf
32,CDC523,Delta Centre,Delta Centre,Cambridge,ON,DeltaCentre.pdf
33,CDH188,Derry Heights Plaza,Derry Heights Plaza,Milton,ON,DerryHeightsPlaza.pdf
34,CDC246,Dufferin Corners,Dufferin Corners,Toronto,ON,DufferinCorners.pdf
35,CFM447,Fairview Mall,Fairview Mall,St. Catharines,ON,FairviewMall.pdf
36,CFP040,Fairway Plaza,Fairway Plaza,Kitchener,ON,FairwayPlaza.pdf
37,CFP041,Fairway Plaza,Fairway East,Kitchener,ON,
38,CFP042,560 Fairway Road S.,560 Fairway Road S.,Kitchener,ON,560FairwayRoadS.pdf
39,CFP043,Fairway Plaza,Fairway Plaza,Kitchener,ON,
40,CGC902,Gloucester City Centre,Gloucester City Centre,Ottawa,ON,GloucesterCityCentre.pdf
41,CGS363,Grimsby Square Shopping Centre,Grimsby Square Shopping Centre,Grimsby,ON,GrimsbySquareShoppingCentre.pdf
42,CGS364,Grimsby Square Shopping Centre,Grimsby-68-70-72 Livingston,Grimsby,ON,
43,CHH622,Halton Hills Village,Halton Hills Village,Georgetown,ON,HaltonHillsVillage.pdf
44,CHP182,Harwood Plaza,Harwood Plaza,Ajax,ON,HarwoodPlaza.pdf
45,CHS232,Humbertown Shopping Centre,Humbertown Shopping Centre,Toronto,ON,HumbertownShoppingCentre.pdf
46,CHP508,Hyde Park Plaza,Hyde Park Plaza,London,ON,HydeParkPlaza.pdf
47,CLS534,Laurelwood Shopping Centre,Laurelwood Shopping Centre,Waterloo,ON,LaurelwoodShoppingCentre.pdf
48,CLV451,Leaside Village,Leaside Village,Toronto,ON,LeasideVillage.pdf
49,CLD662,180 Laird Drive,180 Laird,Toronto,ON,180Laird.pdf
50,CMG789,Maple Grove Village,Maple Grove Village,Oakville,ON,MapleGroveVillage.pdf
51,CMC156,McLaughlin Corners - West,McLaughlin Corners - West,Brampton,ON,McLaughlinCornersWest.pdf
52,CMC157,McLaughlin Corners - East,,Brampton,ON,
53,CMT085,Meadowvale Town Centre,Meadowvale Town Centre,Mississauga,ON,MEADOWVALE_TOWN_CENTRE.pdf
54,CAP160,Aquitaine Plaza,Aquitaine Plaza,Mississauga,ON,AquitainePlaza.pdf
55,CMB434,Merchandise Building,Merchandise Building,Toronto,ON,MerchandiseBuilding.pdf
56,CML262,Midland Lawrence Plaza,Midland Lawrence Plaza,Toronto,ON,MidlandLawrencePlaza.pdf
57,CMC208,Morningside Crossing,Morningside Crossing,Toronto,ON,MorningsideCrossing.pdf
58,CKS109,Kingston Square,Kingston Square,Toronto,ON,KingstonSquare.pdf
59,CWH647,Kingston Square West,Kingston Square West,Toronto,ON,KINGSTON_SQUARE_WEST_DIGITAL.pdf
60,COA272,Olde Oakville Market Place,Olde Oakville Market Place,Oakville,ON,OldeOakvileMarketPlace.pdf
61,CSA372,Shops of Oakville South,Shops of Oakville South,Oakville,ON,ShopsOfOakvilleSouth.pdf
62,CPM025,Parkway Mall,Parkway Mall,Toronto,ON,ParkwayMall.pdf
63,CVT233,Victoria Terrace,Victoria Terrace,Toronto,ON,VictoriaTerrace.pdf
64,CQP019,Queenston Place,Queenston Place,Hamilton,ON,QueenstonPlace.pdf
65,CRS976,110 West Toronto St,110 West Toronto St,Toronto,ON,
66,CRO865,Royal Orchard,Royal Orchard,Thornhill,ON,RoyalOrchard.pdf
67,CRM322,Rutherford Marketplace,Rutherford Marketplace,Vaughan,ON,RutherfordMarketplace.pdf
68,CSP695,Sheridan Plaza,Sheridan Plaza,Toronto,ON,SheridanPlaza.pdf
69,CSD321,Shoppes on Dundas,Shoppes on Dundas,Oakville,ON,ShoppesOnDundas.pdf
70,CSK968,Shops at King Liberty,Shops at King Liberty,Toronto,ON,ShopsAtKingLiberty.pdf
71,CLI001,Shops at King Liberty,Barrymore Building,Toronto,ON,BarrymoreBuilding.pdf
72,CLI002,Shops At King Liberty,85 Hanna Avenue,Toronto,ON,85HannaAvenue.pdf
73,CLI003,Shops at King Liberty,1005 King St W,Toronto,ON,1005KingStW.pdf
74,CLI004,Shops at King Liberty,1029 King St W,Toronto,ON,1029KingStW.pdf
77,CLI007,Shops at King Liberty,1030 King St W,Toronto,ON,1030KingStW.pdf
79,CLI009,Shops at King Liberty,Shops at King Liberty,Toronto,ON,ShopsAtKingLiberty.pdf
80,CLI010,Fuzion Retail,Fuzion Retail,Toronto,ON,FuzionRetail.pdf
82,CKH357,Shops at King Liberty,King High Line Retail,Toronto,ON,KingHighLineRetail.pdf
83,CSP070,Stanley Park Mall,Stanley Park Mall,Kitchener,ON,STANLEY_MALL.pdf
84,CSH400,Steeple Hill Shopping Centre,Steeple Hill Shopping Centre,Pickering,ON,SteepleHillShoppingCentre.pdf
85,CSH401,Steeple Hill Shopping Centre,Steeple Hill West,Pickering,ON,
86,CSH402,Steeple Hill Shopping Centre,Steeple Hill East,Pickering,ON,
87,CSP871,Stoneybrook Plaza,Stoneybrook Plaza,London,ON,StoneybrookPlaza.pdf
88,CSV601,Sunningdale Village,Sunningdale Village,London,ON,SunningdaleVillage.pdf
89,CTQ336,The Queensway,1631 & 1633 The Queensway,Etobicoke,ON,1631-1633TheQueensway.pdf
92,CTP685,Thickson Place,Thickson Place,Whitby,ON,ThicksonPlace.pdf
93,CWM800,Whitby Mall,Whitby Mall,Whitby,ON,WhitbyMall.pdf
94,CTP518,Tomken Plaza,Tomken Plaza,Mississauga,ON,TomkenPlaza.pdf
95,CWC521,Wellington Corners,Wellington Corners,London,ON,WellingtonCorners.pdf
96,CBL728,Baseline Medical Centre,Baseline Medical Centre,London,ON,
97,CWC,Westminster Plaza,Westminster Plaza,London,ON,WestminsterPlaza.pdf
98,CWH737,Westney Heights Plaza,Westney Heights Plaza,Ajax,ON,WestneyHeightsPlaza.pdf
99,CYD201,Yonge-Davis Centre,Yonge-Davis Centre,Newmarket,ON,YongeDavisCentre.pdf
100,CYM801,York Mills Gardens,York Mills Gardens,Toronto,ON,YorkMillsGardens.pdf
101,CYM003,801 York Mills,801 York Mills,Toronto,ON,
102,CYM303,861 York Mills,861 York Mills,Toronto,ON,861YorkMills.pdf
103,CYV483,Yorkville Village,Yorkville Village,Toronto,ON,YorkvilleVillage.pdf
104,CYV484,Yorkville Village,80-100 Yorkville Avenue,Toronto,ON,80-100YorkvilleAvenue.pdf
105,CYV485,Yorkville Village,106-108 Yorkville Avenue,Toronto,ON,
106,CYV486,Yorkville Village,102/104 Yorkville,Toronto,ON,
108,ELP846,Loblaws Plaza,Loblaws Plaza,Ottawa,ON,Loblaws_Plaza_EN_DIGITAL.pdf
109,ESC360,Strandherd Crossing,Strandherd Crossing,Ottawa,ON,StrandherdCrossing_EN.pdf
110,EHC420,Hunt Club Marketplace,Hunt Club Marketplace,Ottawa,ON,
111,EEP020,Eagleson Place,Eagleson Place,Ottawa,ON,EaglesonPlace-EN.pdf
114,CAL001,Pusateri's,1539 & 1541 Avenue Road,Toronto,ON,
116,CYV488,Yorkville Village,101 Yorkville Ave,Toronto,ON,
117,EPR905,Place Roland Therrien,Place Roland Therrien,Longueuil,QC,PlaceRolandTherrien.pdf
118,EAP462,Place Adoncour,Place Adoncour,Longueuil,QC,PlaceAdoncour.pdf
119,EPG399,La Porte de Gatineau,La Porte de Gatineau,Gatineau,QC,LaPortedeGatineau-EN.pdf
120,ECP756,Carrefour du Plateau,Carrefour du Plateau,Gatineau,QC,CarrefourDuPlateau.pdf
121,EGP921,Les Galeries de Repentigny,Galeries de Repentigny,Repentigny,QC,GaleriesdeRepentigny-EN.pdf
122,EGB163,Galeries Brien,Galeries Brien Ouest,Repentigny,QC,GaleriesBrienOuest.pdf
123,EGB493,Galeries Brien,Galeries Brien Est,Repentigny,QC,GaleriesBrienEst.pdf
124,ECC651,Centre Commercial Beaconsfield,Centre Commercial Beaconsfield,Beaconsfield,QC,
125,EPB864,Centre Commercial Beaconsfield,Plaza Beaconsfield,Beaconsfield,QC,PlazaBeaconsfield.pdf
126,EPK792,Place Kirkland,Place Kirkland,Kirkland,QC,PlaceKirkland.pdf
127,ECK927,Centre Kirkland,Centre Kirkland,Kirkland,QC,CentreKirkland.pdf
128,ECS623,Centre St-Charles,Centre St-Charles,Kirkland,QC,CentreStCharles.pdf
131,EPA842,Place Anjou,Place Anjou,Anjou,QC,PlaceAnjou.pdf
132,EPB999,Plaza Baie - D'Urf?,Plaza Baie - D'Urf?,Baie D'Urf?,QC,BaieDurfePlaza-EN.pdf
133,ECL844,Carre Lucerne,Carre Lucerne,Ville Mont-Royal,QC,CarreLucerne.pdf
135,EGP527,Griffintown,Griffintown - 225 Peel,Montr?al,QC,Griffintown-225Peel-EN.pdf
136,EGW287,Griffintown,Griffintown - 1000 Wellington Street,Montr?al,QC,Griffintown1000WellingtonStreet.pdf
137,EGP205,Griffintown,Griffintown - 100 Peel,Montr?al,QC,Griffintown-100Peel-EN.pdf
138,EMV546,March? du Vieux Longueuil,March? du Vieux Longueuil,Longueuil,QC,
139,EGL695,Galeries de Lanaudiere,Galeries de Lanaudiere,Lachenaie,QC,GaleriesdeLanaudiere-EN.pdf
140,EPC582,Carrefour Charlemagne,Papin Charlemagne,Charlemagne,QC,
141,ECR027,Carrefour Charlemagne,Charlemagne - Rona,Charlemagne,QC,CharlemagneRona.pdf
142,ECC540,Carrefour Charlemagne,Carrefour Charlemagne-Metro,Charlemagne,QC,CarrefourCharlemagneMetro.pdf
143,EGC361,Galeries des Chesnayes,Galeries des Chesnayes,Lachenaie,QC,GaleriesDesChesnayes-EN.pdf
144,ECS327,Carrefour St. Hubert,Carrefour St. Hubert,St-Hubert,QC,CarrefourStHubert-EN.pdf
145,EPD410,Promenades du Parc,Promenades du Parc,St-Hubert,QC,PromenadesDuParc_EN_DIGITAL.pdf
146,EPA196,Plaza Actuel,Plaza Actuel,St-Hubert,QC,PLAZA_ACTUEL_EN.pdf
147,ECC648,Centre Commercial Maisonneuve,Centre Commercial Maisonneuve,Montr?al,QC,CentreCommercialMaisonneuve .pdf
148,EED663,Edifice Hooper,Edifice Hooper,Sherbrooke,QC,EdificeHooper.pdf
149,ECB477,Carrefour Belvedere,Carrefour Belvedere,Sherbrooke,QC,ENGLISH-CARREFOUR_BELEVDERE.pdf
150,EAS855,Atrium du Sanctuaire,Atrium du Sanctuaire,Montr?al,QC,AtriumDuSanctuaire.pdf
151,ECC283,Centre Commercial Cote St-Luc,Centre Commercial Cote St-Luc,C?te St-Luc,QC,CentreCommercialCoteSt-Luc_EN.pdf
152,EPF383,Place Fleury,Place Fleury,Montr?al,QC,PlaceFleury.pdf
153,EFD337,Place Fleury,Fleury Dollarama,Montr?al,QC,FleuryDollarama.pdf
154,EFR392,Place Fleury,Fleury Renaud-Bray,Montr?al,QC,FleuryRenaud-Bray.pdf
155,ECC724,Centre Commercial Domaine,Centre Commercial Domaine,Montr?al,QC,Centre_Commercial_Domaine_EN_DIGITAL.pdf
156,ECC040,Centre Commercial Wilderton,Centre Commercial Wilderton,Montr?al,QC,CentreCommercialWilderton_EN.pdf
157,EGN224,Galeries Normandie,Galeries Normandie,Montr?al,QC,GaleriesNormandie_EN_DIGITAL.pdf
158,EFD318,Faubourg des Prairies,Faubourg des Prairies,Montr?al,QC,
159,EJM603,Jardins Millen,Jardins Millen,Montr?al,QC,JardinsMillen.pdf
160,EPP224,Place Pointe-aux-Trembles,Place Pointe-aux-Trembles,Montr?al,QC,PlacePointe-aux-Trembles-EN.pdf
161,EPC123,Place Cite des Jeunes,Place Cite des Jeunes,Gatineau,QC,PlaceCitedesJeunes.pdf
162,272EPN,Place Nelligan,Place Nelligan,Gatineau,QC,PlaceNelligan.pdf
164,ECD473,Carrefour du Versant,Carrefour du Versant Est,Gatineau,QC,CarrefourDuVersant-EST_EN.pdf
165,ECD390,Carrefour du Versant,Carrefour du Versant Ouest,Gatineau,QC,Carrefour_Du_Versant_Ouest_EN_DIGITAL.pdf
166,ECM592,Centre Maxi Trois Rivieres,Centre Maxi Trois Rivieres,Trois-Rivi?res,QC,CentreMaxiTroisRivieres.pdf
167,EPL095,Promenade L?vis,Promenade L?vis,L?vis,QC,Promenade_Levis_EN_DIGITAL.pdf
168,EPQ154,Place Quatre-Bourgeois,Place Quatre-Bourgeois,Qu?bec,QC,Place-Quatre-Bourgeois_EN.pdf
169,EPN376,Place Naviles,Place Naviles,Qu?bec,QC,PlaceNaviles.pdf
170,ECC405,Centre Commercial Van Horne,Centre Commercial Van Horne,Montr?al,QC,Van_Horne_Centre_Commercial_EN_DIGITAL.pdf
171,ECD986,Cote-des-Neiges,Cote-des-Neiges,Montr?al,QC,
172,ECQ550,Carre Queen-Mary,Carre Queen-Mary,Montr?al,QC,CarreQueen-Mary.pdf
