"id","property_id","contact_id"
"5478","1","1"
"5477","1","2"
"4095","2","3"
"4094","2","4"
"5090","3","2"
"5091","3","5"
"5601","4","4"
"5602","4","6"
"5749","5","3"
"5748","5","13"
"5032","6","1"
"5031","6","4"
"4551","7","4"
"4552","7","9"
"4599","8","10"
"4598","8","11"
"5095","9","10"
"5094","9","11"
"5034","10","10"
"5033","10","11"
"5646","11","4"
"5648","11","12"
"5647","11","13"
"5096","12","4"
"5098","12","12"
"5097","12","13"
"5212","13","4"
"5214","13","12"
"5213","13","13"
"5100","14","9"
"5099","14","13"
"5663","15","13"
"5664","15","67"
"5382","16","4"
"5383","16","11"
"5384","16","15"
"4616","17","4"
"4617","17","11"
"4618","17","15"
"5649","18","7"
"5650","18","17"
"4628","19","12"
"4627","19","13"
"4630","20","12"
"4629","20","13"
"4119","21","10"
"4118","21","11"
"5050","22","18"
"5049","22","19"
"4245","23","18"
"4244","23","19"
"5087","24","18"
"5086","24","19"
"5051","25","4"
"5053","25","9"
"5052","25","19"
"5296","26","11"
"5297","26","15"
"4741","27","11"
"4742","27","15"
"4129","28","7"
"4130","28","20"
"4971","29","21"
"4970","29","63"
"4763","30","2"
"4764","30","67"
"4767","31","2"
"4768","31","3"
"5679","32","10"
"5678","32","11"
"4781","33","4"
"4782","33","11"
"4783","33","67"
"4148","34","3"
"4147","34","13"
"4785","35","12"
"4784","35","19"
"5385","36","11"
"5386","36","15"
"4792","37","11"
"4793","37","15"
"4790","38","11"
"4791","38","15"
"5622","39","11"
"5623","39","15"
"5175","40","21"
"5174","40","63"
"4156","41","12"
"4155","41","13"
"2993","42","12"
"2992","42","13"
"4798","43","19"
"4799","43","67"
"5286","44","7"
"5287","44","17"
"5055","45","5"
"5054","45","11"
"4164","46","10"
"4163","46","11"
"4165","47","11"
"4166","47","15"
"4167","48","4"
"4168","48","7"
"4169","48","18"
"3409","49","4"
"3410","49","7"
"3411","49","18"
"5301","50","1"
"5300","50","2"
"5058","51","13"
"3995","52","24"
"5611","53","1"
"5609","53","4"
"5610","53","13"
"4817","54","1"
"4815","54","2"
"4816","54","4"
"4818","55","2"
"4819","55","5"
"4822","56","19"
"4823","56","20"
"5642","57","7"
"5643","57","20"
"5473","58","7"
"5474","58","20"
"5614","59","7"
"5615","59","20"
"4193","60","1"
"4191","60","2"
"4192","60","4"
"5083","61","1"
"5081","61","2"
"5082","61","4"
"5068","62","3"
"5067","62","19"
"5085","63","3"
"5084","63","19"
"4202","64","12"
"4201","64","13"
"2860","65","2"
"2861","65","5"
"5195","66","3"
"5194","66","13"
"5303","67","5"
"5302","67","13"
"5069","68","2"
"5070","68","3"
"4210","69","1"
"4209","69","2"
"5798","70","4"
"5799","70","5"
"5794","71","4"
"5795","71","5"
"5792","72","4"
"5793","72","5"
"5810","73","4"
"5811","73","5"
"5812","74","4"
"5813","74","5"
"5814","77","4"
"5815","77","5"
"5808","79","4"
"5809","79","5"
"4884","80","2"
"4885","80","5"
"5780","82","2"
"5781","82","5"
"4893","83","15"
"4892","83","19"
"4090","84","7"
"4091","84","17"
"3005","85","7"
"3006","85","17"
"3007","86","7"
"3008","86","17"
"4229","87","10"
"4228","87","11"
"5392","88","10"
"5391","88","11"
"4089","89","5"
"4088","89","8"
"5288","92","7"
"5289","92","17"
"4898","93","7"
"4899","93","17"
"4900","94","2"
"4901","94","67"
"4902","95","4"
"4904","95","10"
"4903","95","11"
"5460","96","4"
"5462","96","10"
"5461","96","11"
"4919","97","4"
"4921","97","10"
"4920","97","11"
"4922","98","7"
"4923","98","17"
"5617","99","9"
"5616","99","13"
"5409","100","9"
"5408","100","19"
"5413","101","9"
"5412","101","19"
"5677","102","9"
"5676","102","19"
"4516","103","8"
"4517","103","28"
"5035","104","8"
"5036","104","28"
"4514","105","8"
"4515","105","28"
"4248","106","8"
"4249","106","28"
"4714","108","21"
"4713","108","63"
"4636","109","21"
"4635","109","63"
"4650","110","21"
"4649","110","63"
"5364","111","21"
"5363","111","63"
"5807","114","6"
"5806","114","26"
"4264","116","8"
"4265","116","28"
"5360","117","45"
"5359","117","46"
"4271","118","45"
"4270","118","46"
"4965","119","21"
"4964","119","63"
"4993","120","21"
"4992","120","63"
"5762","121","46"
"5763","121","66"
"5764","122","46"
"5765","122","66"
"5766","123","46"
"5767","123","66"
"4055","124","46"
"4056","124","47"
"4078","125","46"
"4079","125","47"
"4294","126","46"
"4295","126","47"
"4298","127","46"
"4299","127","47"
"4300","128","46"
"4301","128","47"
"4302","131","46"
"4303","131","48"
"5210","132","46"
"5211","132","48"
"5149","133","46"
"5150","133","49"
"5665","135","63"
"4963","136","51"
"4935","137","50"
"4934","137","63"
"5774","138","46"
"5775","138","66"
"5723","139","49"
"5722","139","52"
"5745","140","49"
"5744","140","63"
"5731","141","49"
"5730","141","63"
"5733","142","49"
"5732","142","63"
"5725","143","49"
"5724","143","63"
"4936","144","46"
"4937","144","50"
"4716","145","45"
"4715","145","46"
"4722","146","45"
"4721","146","46"
"5102","147","45"
"5101","147","53"
"4776","148","45"
"4775","148","63"
"5197","149","45"
"5196","149","63"
"4959","150","45"
"4958","150","63"
"5048","151","48"
"5047","151","63"
"5144","152","48"
"5143","152","53"
"5627","153","48"
"5626","153","53"
"5120","154","48"
"5119","154","53"
"4837","155","46"
"4838","155","48"
"5142","156","49"
"5141","156","63"
"5770","157","53"
"5771","157","66"
"5772","158","53"
"5773","158","66"
"5778","159","63"
"5779","159","66"
"5122","160","45"
"5121","160","53"
"4991","161","21"
"4990","161","53"
"5504","162","21"
"5503","162","53"
"4985","164","21"
"4984","164","53"
"4989","165","21"
"4988","165","53"
"4859","166","52"
"4860","166","54"
"5045","167","52"
"5046","167","54"
"5491","168","52"
"5492","168","54"
"4422","169","52"
"4423","169","54"
"5157","170","49"
"5156","170","63"
"4942","171","46"
"4943","171","49"
"4955","172","49"
"4954","172","53"
"4945","173","49"
"4944","173","53"
"4941","174","49"
"4940","174","53"
"4957","175","49"
"4956","175","53"
"4951","176","49"
"4950","176","53"
"5760","177","52"
"5761","177","66"
"5768","178","52"
"5769","178","66"
"5776","179","52"
"5777","179","66"
"5362","180","47"
"5361","180","52"
"4469","181","45"
"4468","181","52"
"4939","182","50"
"4938","182","52"
"4953","183","50"
"4952","183","52"
"5746","184","52"
"5747","184","54"
"4705","185","52"
"4706","185","54"
"5186","186","52"
"5187","186","54"
"5188","187","52"
"5189","187","54"
"5233","188","52"
"5234","188","54"
"4490","189","48"
"4489","189","52"
"4701","191","52"
"4702","191","54"
"4033","192","30"
"4031","192","31"
"4032","192","36"
"5432","193","30"
"5430","193","31"
"5431","193","36"
"4498","194","30"
"4496","194","31"
"4497","194","36"
"5562","196","31"
"5563","196","41"
"5564","196","64"
"5336","197","30"
"5334","197","31"
"5335","197","41"
"5519","198","34"
"5520","198","64"
"5521","199","34"
"5522","199","64"
"5513","200","31"
"5514","200","64"
"5510","201","31"
"5511","201","41"
"5512","201","64"
"5581","202","31"
"5583","202","33"
"5582","202","39"
"5433","203","31"
"5435","203","33"
"5434","203","41"
"4484","204","31"
"4486","204","33"
"4485","204","41"
"5523","205","34"
"5524","205","64"
"5624","206","34"
"5625","206","64"
"5472","207","30"
"5471","207","34"
"5630","208","34"
"5631","208","64"
