"id","property_id","tenant_id"
"10620","1","1"
"10619","1","2"
"10622","1","3"
"10623","1","4"
"10621","1","5"
"10618","1","198"
"8179","2","7"
"9996","3","4"
"9995","3","8"
"10774","4","57"
"11043","5","13"
"11045","5","14"
"11042","5","15"
"11044","5","397"
"9863","6","16"
"9865","6","204"
"9864","6","206"
"8963","7","18"
"8964","7","19"
"8961","7","20"
"8960","7","207"
"8962","7","208"
"8965","7","209"
"9044","8","22"
"10005","9","23"
"10006","9","24"
"10004","9","30"
"10003","9","31"
"10002","9","84"
"9866","10","7"
"9870","10","21"
"9869","10","27"
"9867","10","28"
"9868","10","29"
"10857","11","24"
"10854","11","29"
"10855","11","32"
"10858","11","33"
"10856","11","35"
"10859","11","36"
"10011","12","5"
"10008","12","212"
"10010","12","213"
"10007","12","214"
"10009","12","215"
"10180","13","34"
"10179","13","96"
"10176","13","216"
"10177","13","217"
"10178","13","218"
"10175","13","219"
"10012","14","73"
"10013","14","365"
"10906","15","25"
"10903","15","32"
"10904","15","39"
"10905","15","41"
"10902","15","42"
"10907","15","223"
"10447","16","18"
"10448","16","44"
"10450","16","223"
"10446","16","224"
"10449","16","225"
"9073","17","21"
"10864","18","21"
"10860","18","23"
"10861","18","24"
"10862","18","25"
"10865","18","36"
"10863","18","226"
"9094","19","33"
"9091","19","208"
"9093","19","227"
"9092","19","228"
"9095","19","229"
"9100","20","19"
"9101","20","230"
"9098","20","231"
"9097","20","232"
"9096","20","233"
"9099","20","234"
"8223","21","18"
"8221","21","24"
"8222","21","27"
"8224","21","33"
"8225","21","34"
"9907","22","28"
"9908","22","29"
"9909","22","49"
"9912","22","65"
"9911","22","223"
"9910","22","227"
"8482","23","30"
"8485","23","50"
"8483","23","235"
"8481","23","236"
"8484","23","237"
"9989","24","21"
"9987","24","26"
"9988","24","238"
"9914","25","8"
"9918","25","46"
"9916","25","107"
"9915","25","216"
"9913","25","239"
"9917","25","240"
"10327","26","4"
"10326","26","21"
"10324","26","25"
"10328","26","34"
"10323","26","53"
"10325","26","226"
"9337","27","29"
"9340","27","36"
"9338","27","49"
"9336","27","54"
"9339","27","55"
"9341","27","243"
"8247","28","8"
"8250","28","21"
"8249","28","25"
"8248","28","29"
"9759","29","300"
"9760","29","373"
"9373","30","108"
"9374","30","387"
"9376","31","44"
"10932","32","4"
"10930","32","23"
"10929","32","29"
"10931","32","61"
"9396","33","8"
"9398","33","21"
"9397","33","26"
"9399","33","46"
"8275","34","21"
"8274","34","26"
"8276","34","34"
"8272","34","249"
"8271","34","250"
"8273","34","251"
"9400","35","29"
"9401","35","50"
"9402","35","63"
"9404","35","65"
"9403","35","223"
"10454","36","24"
"10451","36","29"
"10452","36","53"
"10457","36","63"
"10456","36","68"
"10453","36","137"
"10455","36","396"
"9423","37","4"
"9420","37","49"
"9422","37","70"
"9424","37","253"
"9421","37","254"
"9417","38","1"
"9419","38","71"
"9418","38","255"
"10818","39","34"
"10817","39","256"
"10125","40","8"
"10127","40","29"
"10129","40","33"
"10128","40","57"
"10130","40","223"
"10126","40","257"
"8296","41","21"
"8295","41","26"
"8293","41","28"
"8298","41","36"
"8297","41","44"
"8294","41","50"
"6309","42","258"
"6308","42","259"
"9436","43","18"
"9434","43","24"
"9435","43","27"
"9437","43","34"
"9438","43","46"
"10299","44","21"
"10298","44","25"
"10295","44","29"
"10300","44","46"
"10297","44","49"
"10296","44","53"
"9919","45","7"
"9920","45","8"
"8315","46","4"
"8312","46","7"
"8314","46","21"
"8313","46","77"
"8320","47","4"
"8316","47","8"
"8317","47","24"
"8321","47","34"
"8319","47","44"
"8318","47","249"
"8323","48","8"
"8325","48","18"
"8326","48","36"
"8327","48","46"
"8322","48","47"
"8324","48","260"
"7036","49","261"
"10336","50","8"
"10337","50","18"
"10338","50","33"
"10339","50","44"
"10340","50","46"
"10335","50","76"
"9929","51","21"
"9928","51","26"
"9927","51","49"
"8008","52","22"
"8004","52","28"
"8007","52","46"
"8005","52","107"
"8006","52","218"
"10788","53","8"
"10792","53","21"
"10791","53","27"
"10787","53","28"
"10790","53","49"
"10789","53","216"
"9470","54","19"
"9469","54","213"
"9468","54","263"
"9471","55","27"
"9472","55","86"
"9473","55","264"
"9478","56","23"
"9481","56","34"
"9479","56","87"
"9480","56","240"
"10849","57","8"
"10853","57","21"
"10852","57","24"
"10848","57","47"
"10851","57","49"
"10850","57","53"
"10609","58","33"
"10606","58","35"
"10610","58","36"
"10611","58","46"
"10608","58","227"
"10607","58","312"
"10801","59","71"
"10800","59","102"
"10799","59","266"
"8377","60","4"
"8376","60","21"
"8374","60","24"
"8375","60","26"
"9978","61","39"
"9980","61","260"
"9977","61","268"
"9979","61","269"
"9981","61","270"
"9976","61","271"
"9948","62","8"
"9953","62","21"
"9951","62","24"
"9952","62","27"
"9949","62","29"
"9950","62","35"
"9982","63","8"
"9983","63","29"
"9984","63","49"
"9986","63","89"
"9985","63","227"
"8400","64","5"
"8396","64","49"
"8397","64","50"
"8395","64","84"
"8398","64","227"
"8399","64","273"
"6094","65","91"
"10155","66","10"
"10156","66","21"
"10154","66","53"
"10341","67","8"
"10346","67","21"
"10343","67","24"
"10345","67","26"
"10342","67","93"
"10344","67","260"
"9956","68","46"
"9955","68","53"
"9957","68","223"
"9954","68","274"
"8417","69","4"
"8416","69","21"
"8415","69","95"
"8418","69","96"
"8414","69","276"
"11108","70","27"
"11111","70","34"
"11110","70","60"
"11109","70","277"
"11112","70","278"
"11102","71","99"
"11101","71","279"
"11100","72","4"
"11098","72","49"
"11097","72","280"
"11099","72","281"
"11119","73","4"
"11118","73","26"
"11117","73","282"
"11123","74","19"
"11122","74","283"
"11121","74","284"
"11120","74","285"
"11126","77","46"
"11124","77","288"
"11125","77","289"
"11114","79","8"
"11113","79","83"
"11116","79","291"
"11115","79","292"
"9592","80","293"
"9595","80","294"
"9593","80","295"
"9594","80","296"
"9609","83","24"
"9610","83","33"
"9611","83","34"
"9608","83","84"
"9612","83","223"
"9613","83","298"
"8176","84","21"
"8173","84","23"
"8175","84","38"
"8171","84","79"
"8174","84","107"
"8172","84","299"
"6333","85","220"
"6328","85","300"
"6330","85","301"
"6332","85","302"
"6329","85","303"
"6331","85","304"
"6335","86","26"
"6336","86","193"
"6334","86","305"
"8447","87","33"
"8449","87","34"
"8448","87","44"
"10463","88","108"
"10464","88","441"
"8169","89","306"
"8170","89","307"
"10306","92","4"
"10301","92","8"
"10304","92","24"
"10305","92","27"
"10302","92","29"
"10303","92","235"
"9627","93","7"
"9630","93","44"
"9626","93","310"
"9631","93","311"
"9628","93","312"
"9629","93","313"
"9636","94","19"
"9637","94","34"
"9633","94","47"
"9632","94","76"
"9635","94","227"
"9634","94","314"
"9643","95","4"
"9638","95","7"
"9641","95","18"
"9642","95","21"
"9639","95","23"
"9640","95","315"
"10580","96","316"
"10581","96","317"
"10582","96","318"
"10583","96","319"
"10579","96","320"
"9670","97","46"
"9669","97","64"
"9668","97","321"
"9675","98","4"
"9671","98","8"
"9673","98","21"
"9672","98","25"
"9676","98","34"
"9674","98","44"
"10806","99","19"
"10805","99","106"
"10803","99","107"
"10802","99","108"
"10804","99","289"
"10489","100","7"
"10492","100","21"
"10490","100","24"
"10493","100","34"
"10491","100","260"
"10494","100","322"
"10500","101","26"
"10501","101","71"
"10499","101","107"
"10502","101","323"
"10503","101","324"
"10928","102","4"
"10926","102","250"
"10927","102","280"
"10925","102","325"
"8887","103","33"
"8886","103","109"
"8885","103","111"
"8890","103","267"
"8888","103","326"
"8889","103","327"
"9873","104","112"
"9871","104","113"
"9872","104","328"
"9874","104","329"
"9286","108","18"
"9284","108","49"
"9285","108","57"
"9283","108","330"
"9281","108","331"
"9282","108","332"
"9112","109","21"
"9111","109","27"
"9110","109","49"
"9146","110","29"
"9145","110","76"
"9147","110","336"
"10430","111","21"
"10429","111","35"
"8512","116","339"
"10419","117","47"
"10418","117","139"
"10423","117","183"
"10420","117","340"
"10422","117","341"
"10421","117","342"
"8526","118","343"
"8525","118","344"
"9753","119","40"
"9754","119","274"
"9799","120","8"
"9798","120","28"
"9800","120","29"
"9802","120","169"
"9801","120","349"
"9803","120","350"
"11062","121","21"
"11063","121","351"
"11061","121","352"
"11059","121","353"
"11060","121","371"
"11065","122","174"
"11064","122","349"
"11067","123","354"
"11066","123","355"
"8097","124","27"
"8100","124","46"
"8099","124","166"
"8098","124","170"
"8101","124","356"
"8150","125","312"
"8555","126","8"
"8558","126","166"
"8556","126","349"
"8557","126","357"
"8559","127","379"
"8560","128","8"
"8561","128","29"
"8564","128","166"
"8565","128","174"
"8563","128","361"
"8562","128","362"
"8567","131","89"
"8566","131","186"
"10173","132","345"
"10174","132","389"
"10172","132","444"
"10092","133","25"
"10090","133","170"
"10089","133","198"
"10091","133","345"
"10910","135","29"
"10912","135","65"
"10909","135","175"
"10911","135","312"
"10908","135","365"
"9752","136","170"
"9704","137","4"
"9703","137","26"
"9702","137","366"
"9705","137","367"
"9701","137","368"
"11079","138","27"
"11080","138","170"
"10999","139","65"
"10995","139","181"
"10996","139","369"
"10998","139","370"
"10997","139","371"
"11036","140","29"
"11037","140","372"
"11035","140","373"
"11008","141","91"
"11009","142","27"
"11001","143","26"
"11000","143","134"
"11002","143","166"
"11003","143","174"
"9706","144","8"
"9710","144","27"
"9708","144","29"
"9711","144","166"
"9709","144","169"
"9707","144","343"
"9287","145","40"
"9291","145","46"
"9290","145","170"
"9289","145","376"
"9288","145","377"
"9303","146","26"
"9302","146","378"
"9304","146","379"
"10015","147","28"
"10014","147","175"
"10016","147","345"
"9388","148","165"
"9389","148","349"
"9387","148","378"
"9386","148","381"
"10157","149","46"
"9745","150","40"
"9746","150","169"
"9747","150","382"
"9902","151","29"
"9906","151","166"
"9904","151","169"
"9905","151","312"
"9903","151","349"
"10076","152","7"
"10077","152","27"
"10080","152","166"
"10078","152","170"
"10079","152","383"
"10819","153","29"
"10044","154","384"
"10043","154","385"
"9514","155","27"
"9515","155","46"
"9516","155","174"
"9517","155","223"
"10074","156","27"
"10073","156","29"
"10075","156","166"
"11070","157","7"
"11074","157","26"
"11071","157","29"
"11073","157","170"
"11072","157","349"
"11078","158","46"
"11077","158","166"
"11076","158","191"
"11075","158","349"
"11085","159","19"
"11086","159","174"
"11084","159","349"
"10047","160","27"
"10045","160","29"
"10046","160","169"
"10048","160","173"
"9796","161","27"
"9797","161","174"
"10657","162","19"
"10656","162","349"
"9789","164","19"
"9790","164","46"
"9787","164","165"
"9791","164","183"
"9788","164","349"
"9794","165","8"
"9795","165","29"
"9549","166","7"
"9550","166","29"
"9551","166","169"
"9553","166","178"
"9552","166","386"
"9900","167","27"
"9899","167","169"
"9896","167","387"
"9898","167","388"
"9901","167","389"
"9897","167","390"
"10643","168","29"
"10646","168","169"
"10644","168","180"
"10645","168","349"
"8754","169","38"
"8753","169","166"
"10101","170","46"
"10100","170","170"
"10099","170","349"
"10098","170","391"
"9724","171","26"
"9723","171","392"
"9722","171","393"
"9736","172","169"
"9726","173","46"
"9725","173","196"
"9719","174","169"
"9720","174","345"
"9718","174","353"
"9721","174","394"
"9744","175","21"
"9743","175","345"
"9742","175","353"
"9734","176","46"
"9735","176","89"
"9733","176","395"
"11056","177","7"
"11057","177","139"
"11058","177","170"
"11069","178","169"
"11068","178","349"
"11081","179","40"
"11083","179","166"
"11082","179","345"
"10424","180","29"
"10428","180","223"
"10426","180","396"
