Date,Open,High,Low,Close,Adj Close,Volume
2017-05-08,20.110001,20.250000,20.010000,20.209999,20.209999,188100
2017-05-09,20.150000,20.219999,20.070000,20.190001,20.190001,382700
2017-05-10,20.100000,20.270000,20.100000,20.190001,20.190001,364300
2017-05-11,20.170000,20.250000,19.870001,19.930000,19.930000,313900
2017-05-12,19.980000,20.000000,19.850000,19.930000,19.930000,169200
2017-05-15,19.950001,19.990000,19.700001,19.840000,19.840000,262800
2017-05-16,19.770000,20.100000,19.770000,20.070000,20.070000,335900
2017-05-17,20.090000,20.139999,19.760000,19.920000,19.920000,251000
2017-05-18,19.900000,19.920000,19.530001,19.600000,19.600000,528800
2017-05-19,19.680000,19.930000,19.600000,19.879999,19.879999,318300
2017-05-23,19.750000,19.910000,19.709999,19.740000,19.740000,254300
2017-05-24,19.790001,19.910000,19.700001,19.830000,19.830000,206500
2017-05-25,19.840000,20.000000,19.840000,19.959999,19.959999,162700
2017-05-26,19.950001,20.010000,19.799999,19.889999,19.889999,191300
2017-05-29,19.870001,20.090000,19.870001,20.020000,20.020000,118500
2017-05-30,20.020000,20.190001,20.000000,20.040001,20.040001,968800
2017-05-31,20.080000,20.200001,20.020000,20.129999,20.129999,1671900
2017-06-01,20.180000,20.260000,20.059999,20.250000,20.250000,797500
2017-06-02,20.290001,20.680000,20.290001,20.639999,20.639999,584100
2017-06-05,20.620001,20.620001,20.360001,20.440001,20.440001,174400
2017-06-06,20.480000,20.559999,20.389999,20.520000,20.520000,296900
2017-06-07,20.540001,20.730000,20.490000,20.540001,20.540001,317400
